//ID,DBName,kROName,iROName,Lvl,HP,SP,BaseExp,JobExp,Range1,ATK1,ATK2,DEF,MDEF,STR,AGI,VIT,INT,DEX,LUK,Range2,Range3,Scale,Race,Element,Mode,Speed,ADelay,aMotion,dMotion,MVPExp,ExpPer,MVP1id,MVP1per,MVP2id,MVP2per,MVP3id,MVP3per,Drop1id,//Drop1per,Drop2id,Drop2per,Drop3id,Drop3per,Drop4id,Drop4per,Drop5id,Drop5per,Drop6id,Drop6per,Drop7id,Drop7per,Drop8id,Drop8per,Drop9id,Drop9per,DropCardid,DropCardper
//===================================================================================================================================================================================================================================================================================================================================================================================================================
1001,SCORPION,Escorpião,Escorpião,24,1109,0,72,70,1,80,135,30,0,1,24,24,5,52,5,10,12,0,4,20,0x3195,200,1564,864,576,0,0,0,0,0,0,0,0,990,70,904,5500,757,56.99999999999999,943,210,7041,100,508,200,625,20,0,0,0,0,4068,1

1002,PORING,Poring,Poring,1,20000,0,2,1,1,7,10,0,5,1,1,1,0,6,30,10,12,1,3,21,0x00000040,400,1872,672,480,0,0,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,

//1003,TESTEGG,Test Egg,Test Egg,2,100000,0,10,10,0,3,9,99,0,1,99,1,1,1,1,10,12,0,4,22,0x00000000,512,0,512,0,0,0,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,

1004,ABELHA_MACHO,Tazuna,Tazuna,130,306000,0,3000,400000,1,882,922,20,20,350,350,350,350,350,350,10,12,0,4,24,0x1089,150,692,792,216,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

1005,MORCEGO,Morcego,Morcego,20,300,0,6,1,1,10,12,0,0,21,21,21,21,21,21,10,10,0,2,20,0x3181,100,1276,576,384,0,0,0,0,0,0,0,0,0,0,913,20,7006,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0

1006,THIEF_BUG_LARVA,Thief Bug Larva,Thief Bug Larva,1,1,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,20,0x28B,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

1007,FABRE,Lagarta,Lagarta,77,235000,1,0,2,1,2219,31691,15,10,94,98,90,94,200,100,10,12,0,4,20,0x181,400,1672,672,480,0,0,0,0,0,0,0,0,949,100,914,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

1008,PUPA,Pupa,Pupa,2,427,0,2,4,0,1,2,0,20,1,1,1,0,1,20,10,12,0,4,22,0x100,1000,1001,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0

1009,CONDOR,Condor,Condor,80,150000,0,1800,1,1,550,590,10,10,300,300,300,300,300,300,10,12,0,2,20,0x1089,150,1148,648,480,0,0,0,0,0,0,0,0,917,180,0,0,0,0,0,0,517,8,916,40,0,0,0,0,0,0,0,0

1010,WILOW,Salgueiro,Salgueiro,4,95,0,5,4,1,9,12,5,15,1,4,8,30,9,10,10,12,1,3,22,0x00000081,200,1672,672,432,0,0,0,,0,,0,,902,9000,1019,100,907,1500,516,700,1068,3500,1067,2000,1066,1000,0,,0,,4010,1

1011,CHONCHON,ChonChon,ChonChon,4,67,0,5,4,1,10,13,10,0,1,10,4,5,12,2,10,12,0,4,20,0x181,200,1076,576,480,0,0,0,0,0,0,0,0,998,50,935,6500,909,1500,0,0,601,100,742,5,1002,150,0,0,0,0,4009,1

1012,RODA_FROG,Sapo de Rodda,Sapo de Rodda,5,133,0,6,5,1,11,14,0,5,1,5,5,5,10,5,10,12,1,5,21,0x00000081,200,2016,816,288,0,0,0,,0,,0,,918,9000,908,500,511,300,721,7,713,2000,0,,0,,0,,0,,4014,1

1013,WOLF,Lobo,Lobo,77,234000,1,0,2700000,1,2219,3169,15,10,94,98,90,94,200,100,10,12,1,2,22,0x00001089,200,1054,504,432,0,0,0,,0,,0,,920,40,0,,0,,0,,0,,0,,0,,0,,0,,0,

1014,SPORE,Esporo,Esporo,16,510,0,66,108,1,24,48,0,5,1,12,12,5,19,8,10,12,1,3,20,0x81,200,1872,672,288,0,0,0,0,0,0,0,0,921,9000,507,800,510,50,743,10,2220,40,7033,5,578,600,0,0,0,0,4022,11015,ZOMBIE,Zumbi,Zumbi,15,534,0,50,33,1,67,79,0,10,1,8,7,0,15,0,10,12,1,1,29,0x00003885,400,2612,912,288,0,0,0,,0,,0,,957,9000,724,5,938,1000,958,50,727,70,0,,0,,0,,0,,4038,1

1016,ARCHER_SKELETON,Esqueleto Arqueiro,Esqueleto Arqueiro,31,3040,0,483,283,9,128,153,0,0,1,8,14,5,90,5,10,12,1,1,20,0x2085,300,2864,864,576,0,0,0,0,0,0,0,0,932,4500,756,70,2285,3,1708,35,1752,1000,507,1800,1701,150,0,0,0,0,4094,1//

1017,THIEF_BUG_FEMALE,Besouro-Ladrão Fêmea,Besouro-Ladrão Fêmea,10,170,0,35,18,1,33,40,5,5,1,15,10,5,23,5,10,12,1,4,27,0x00000000,200,988,288,768,0,0,0,,0,,0,,955,3500,910,250,1108,15,928,200,507,400,716,50,1002,400,0,,0,,4026,7

1018,BORBOLETA,Borboleta,Borboleta,100,392000,0,2400,1,1,720,740,15,15,350,350,350,350,350,350,10,12,0,4,20,0x81,150,1136,720,840,0,0,0,0,0,0,0,0,924,10000,0,0,518,40,0,0,0,0,907,10000,0,0,0,0,0,0,0,0

1019,PECOPECO,Passaro dos Campos,Passaro dos Campos,77,235000,1,0,2700000,1,2219,2169,15,0,94,98,90,94,200,100,10,12,2,2,23,0x00001089,200,1564,864,576,0,0,0,,0,,0,,925,20,0,,0,,0,,0,,0,,0,,0,,0,,0,

1020,MANDRAGORA,Mandrágora,Mandrágora,12,405,0,45,32,4,26,35,0,25,1,12,24,0,36,15,10,12,1,3,60,0x84,1000,1768,768,576,0,0,0,0,0,0,0,0,993,50,905,9000,1405,30,511,350,711,300,706,3,1967,10,0,0,0,0,4030,1

1021,THIEF_BUG_MALE,Barata Fêmea,Barata Fêmea,77,235000,1,0,93,1,2219,3169,15,10,94,98,90,94,200,100,10,12,1,4,27,0x0000028D,300,988,288,768,0,0,0,,0,,0,,1042,200,705,1,0,,0,,0,,0,,0,,0,,0,,0,

