//WarpsKonoha
//konoha,149,16,0	warp	gen001	1,1,prt_fild02,173,378

konoha3,162,253,0	warp	rosto1	1,1,konoha3,194,289
konoha3,194,284,0	warp	rosto2	1,1,konoha3,163,249


//Hospital
//konoha3,88,233,0	warp	nuv118	1,1,hospital,103,8
hospital,103,3,0	warp	nuv119	1,1,konoha,110,257

//Academia
//konoha3,276,240,0	warp	kyu118	1,1,payon_in01,56,53
payon_in01,56,50,0	warp	kyu116	1,1,konoha3,275,238

//Central de Jutsus
//konoha3,159,197,0	warp	cus031	1,1,payon_in01,18,128
lou_in01,78,140,0	warp	kyu916	1,1,konoha3,159,193
payon_in01,13,137,0	warp	cus030#1	1,1,payon_in01,10,41
payon_in01,9,38,0	warp	cus030#2	1,1,payon_in01,13,134

//Esgoto entrada
//FAZER BLOCKkonoha,190,230,0	warp	cus047	1,1,gl_sew01,258,255
//gl_sew01,258,263,0	warp	cus065	1,1,konoha3,266,256

//Bonecos de Treino
//konoha3,105,253,0	warp	bon012	1,1,yuno_in01,169,102
yuno_in01,169,104,0	warp	bon011	1,1,konoha3,105,250

//Loja de Equipamentos
//konoha3,148,226,0	warp	nuv116	1,1,ama_in01,23,19
ama_in01,23,16,0	warp	nuv117	1,1,konoha3,146,224

//Prisão dos Bijuus
//konoha3,172,154,0	warp	pri088	1,1,biju_pri1,19,20
biju_pri1,18,16,0	warp	pri089	1,1,konoha3,172,151

//Sala do Kage
//konoha3,194,234,0	warp	nuve210	1,1,salakagea,31,8
salakagea,31,2,0	warp	cust021-2	1,1,konoha3,194,230

//Biblioteca
//konoha3,281,163,0	warp	kbib005	1,1,bibli_01,52,41
bibli_01,52,37,0	warp	sbib006	1,1,konoha3,281,160

//[NOVO] Arena de Konoha
konoha3,117,172,0	warp	csknh01	1,1,konoha3,110,177
konoha3,112,175,0	warp	csknh02	1,1,konoha3,119,170

yggdrasil01,134,55,0	warp	scus046	1,1,yggdrasil01,29,195
yggdrasil01,26,195,0	warp	sbon011	1,1,yggdrasil01,132,53
yggdrasil01,134,55,0	warp	sbon012	1,1,yggdrasil01,29,197


mjolnir_02,118,348,0	warp	scus047	1,1,pay_fild10,108,49
pay_fild10,108,46,0	warp	ssbon012	1,1,mjolnir_02,118,345

//SistemaDeDestruiçãoDeCasasKonoha
//job_wiz,115,82,0	warp	kyu115	1,1,konoha,52,177

//EsgotoKonoha
gl_sew01,19,17,0	warp	cus048	1,1,gl_sew03,168,286
gl_sew03,172,286,0	warp	cus066	1,1,gl_sew01,21,17
gl_sew03,64,11,0	warp	cus049	1,1,gl_sew04,101,79
gl_sew04,105,79,0	warp	cus067	1,1,gl_sew03,64,16
gl_sew04,67,280,0	warp	cts050	1,1,tha_t06,119,8
tha_t06,119,3,0	warp	cts068	1,1,gl_sew04,69,280
tha_t06,120,234,0	warp	ctss050	1,1,gl_prison,148,180
gl_prison,148,183,0	warp	ctss051	1,1,tha_t06,120,231

//FieldsKonoha
//prt_fild02,173,381,0	warp	gen002	1,1,konoha3,207,55
prt_fild02,17,303,0	warp	gen003	1,1,prt_fild01,379,303
prt_fild01,382,304,0	warp	gen004	1,1,prt_fild02,20,303
prt_fild02,306,17,0	warp	gen005	1,1,prt_fild06,276,315
prt_fild06,276,319,0	warp	gen006	1,1,prt_fild02,306,20
prt_fild06,25,193,0	warp	gen007	1,1,moc_fild03,300,172
moc_fild03,303,172,0	warp	gen008	1,1,prt_fild06,28,193
prt_fild01,200,22,0	warp	2gen009	1,1,moc_fild03,244,317
moc_fild03,244,320,0	warp	1gen009	1,1,prt_fild01,200,25
prt_fild01,261,372,0	warp	gen010	1,1,cmd_fild01,222,28
cmd_fild01,222,25,0	warp	gen011	1,1,prt_fild01,261,369
cmd_fild01,178,369,0	warp	gen012	1,1,mjolnir_05,236,20
mjolnir_05,236,16,0	warp	gen013	1,1,cmd_fild01,176,367
mjolnir_05,369,212,0	warp	gen014	1,1,odin_tem02,27,181
odin_tem02,24,181,0	warp	gen015	1,1,mjolnir_05,366,212
odin_tem02,260,372,0	warp	gen016	1,1,mosk_dun01,189,45
mosk_dun01,189,42,0	warp	gen017	1,1,odin_tem02,262,368
mosk_dun01,200,270,0	warp	gen018	1,1,gef_fild10,105,23
cmd_fild01,26,318,0	warp	gen021	1,1,mjolnir_04,370,174
mjolnir_04,373,174,0	warp	gen022	1,1,cmd_fild01,29,318
mjolnir_04,160,62,0	warp	gen023	1,1,prt_fild05,292,382
prt_fild05,292,385,0	warp	gen024	1,1,mjolnir_04,160,65
moc_fild03,18,37,0	warp	gen025	1,1,mjolnir_06,380,78
mjolnir_06,383,78,0	warp	gen026	1,1,moc_fild03,21,37
prt_fild05,253,14,0	warp	gen027	1,1,mjolnir_06,365,380
mjolnir_06,365,383,0	warp	gen028	1,1,prt_fild05,253,17
pay_fild02,283,109,0	warp	gen029	1,1,mjolnir_06,22,332
mjolnir_06,19,332,0	warp	gen030	1,1,pay_fild02,280,109
prt_fild05,374,206,0	warp	gen031	1,1,prt_fild01,23,293
prt_fild01,20,293,0	warp	gen032	1,1,prt_fild05,370,206
prt_fild05,14,332,0	warp	gen033	1,1,gef_fild01,380,111
cmd_fild01,361,263,0	warp	gen0340	1,1,anthell01,35,263
moc_fild03,180,16,0	warp	gen0300	1,1,mjolnir_07,214,379
mjolnir_07,214,382,0	warp	gen0310	1,1,moc_fild03,180,19
mjolnir_07,383,232,0	warp	gen0320	1,1,mjolnir_08,33,236
mjolnir_08,30,235,0	warp	gen0330	1,1,mjolnir_07,380,232
mjolnir_08,188,28,0	warp	gen0130	1,1,prt_fild00,158,380
prt_fild00,158,383,0	warp	gen0140	1,1,mjolnir_08,188,31
prt_fild00,383,250,0	warp	gen0150	1,1,mjolnir_11,23,221
mjolnir_11,20,221,0	warp	gen0160	1,1,prt_fild00,380,250
mjolnir_11,173,20,0	warp	gen0170	1,1,gef_fild02,220,353
gef_fild02,220,356,0	warp	gen0180	1,1,mjolnir_11,173,23
gef_fild02,268,18,0	warp	gen0210	1,1,prt_fild07,133,376
prt_fild07,133,380,0	warp	gen0220	1,1,gef_fild02,267,21
prt_fild07,85,14,0	warp	gen0230	1,1,gef_fild03,66,367
gef_fild03,66,372,0	warp	gen0240	1,1,prt_fild07,85,17
gef_fild03,18,52,0	warp	gen0250	1,1,gef_fild12,363,51
gef_fild12,368,50,0	warp	gen0260	1,1,gef_fild03,21,52
gef_fild12,260,15,0	warp	gen0270	1,1,payon,227,325
payon,227,328,0	warp	gen0280	1,1,gef_fild12,260,18
payon,121,28,0	warp	gen0290	1,1,prt_fild03,196,278






//KamiKonoha
anthell01,35,267,0	warp	kyu106	1,1,cmd_fild01,358,261
anthell01,253,32,0	warp	cus082	1,1,anthell02,168,171
anthell02,33,265,0	warp	cus083	1,1,gld_dun03,238,271
gld_dun03,238,275,0	warp	cus088	1,1,anthell02,33,262
anthell02,171,170,0	warp	cus089	1,1,anthell01,254,36

//Otogakure (Vila oculta do Som)
Orochimaru,80,144,0	warp	gen0211	1,1,ayo_dun01,8,148
ayo_dun01,6,148,0	warp	gen0251	1,1,Orochimaru,80,140
ayo_dun01,293,148,0	warp	gen0221	1,1,moc_prydb1,100,59
moc_prydb1,100,55,0	warp	gen0231	1,1,ayo_dun01,289,148
moc_prydb1,100,191,0	warp	gen0241	1,1,gef_dun01,115,239
gef_dun01,115,242,0	warp	gen0261	1,1,moc_prydb1,100,188
moc_prydb1,88,116,0	warp	gen0271	1,1,moc_prydb1,55,115
moc_prydb1,59,115,0	warp	gen0281	1,1,moc_prydb1,92,116
moc_prydb1,111,116,0	warp	gen0291	1,1,moc_prydb1,146,116
moc_prydb1,142,116,0	warp	gen0091	1,1,moc_prydb1,108,116

//Vila oculta da Grama
mjolnir_04,180,133,0	warp	gen0092	1,1,umbala,109,285
umbala,106,286,0	warp	genj0091	1,1,mjolnir_04,177,133
umbala,129,78,0	warp	haku01	1,1,cmd_fild03,150,373
cmd_fild03,150,376,0	warp	haku02	1,1,umbala,130,82


//Névoa
//kiri,205,155,0	warp	kyu090	1,1,salakagen,31,7 // ENTRADA SALA KAGE
salakagen,31,2,0	warp	cus021-2	1,1,kiragakure,201,221 // SAIDA SALA KAGE

//kiri,77,346,0	warp	cus042	1,1,prt_sewb1,131,248 //ENTRADA ESGOTO
//kiri,193,102,0	warp	dkc043	1,1,prt_in,60,73 // ENTRADA ACADEMIA NEVOA
//kiri,255,370,0	warp	dkc694	1,1,yuno_in01,174,34
//kiri,47,126,0	warp	dkc044	1,1,payon_in03,20,63
//payon_in03,100,148,0	warp	dkc045	1,1,kiragakure,267,259
payon_in03,20,86,0	warp	cah68	1,1,payon_in03,20,70
payon_in03,20,73,0	warp	cah69	1,1,payon_in03,20,89

//LOJA DE EQUIP NEVOA
//kiri,27,88,0	warp	dkc047	1,1,ama_in01,175,173
ama_in01,175,170,0	warp	dkc0473	1,1,kiragakure,160,274

//CasasNevoa
yuno_in01,177,34,0	warp	dkc699	1,1,kiragakure,210,287 
prt_in,60,77,0	warp	kyu088	1,1,kiragakure,182,288
prt_in,68,65,0	warp	kyu087	1,1,prt_in,84,65
prt_in,82,65,0	warp	kyu086	1,1,prt_in,66,65
prt_in,49,65,0	warp	kyu085	1,1,prt_in,34,65
prt_in,37,65,0	warp	kyu084	1,1,prt_in,51,65
//kiri,34,181,0	warp	bib005	1,1,bibli_03,52,41
bibli_03,52,37,0	warp	bib006	1,1,kiragakure,248,173
//kiri,151,111,0	warp	hosp120	1,1,hospital3,103,8
hospital3,103,3,0	warp	hosp121	1,1,kiri,196,104
//kiri,288,64,0	warp	pri077	1,1,biju_pri3,19,20
biju_pri3,18,16,0	warp	pri078	1,1,kiragakure,223,162



//SistemaDeDestruiçãoDeCasasNevoa
//job_wiz,113,154,0	warp	kyu083	1,1,nevoa,236,264

//EsgotoNévoa
//prt_sewb1,136,247,0	warp	cus060	1,1,kiri,384,101
