

//abyss_03,0,0,0,0	monster	Ichibi	1737,1,24000000,24000000,0
//iz_dun01,0,0,0,0	monster	Nibi	1984,1,24000000,24000000,0
//mag_dun01,0,0,0,0	monster	Sanbi	1986,1,24000000,24000000,0
//mag_dun02,0,0,0,0	monster	Yonbi	1981,1,24000000,24000000,0
//ra_san05,0,0,0,0	monster	Gobi	1982,1,24000000,24000000,0
//tur_dun01,0,0,0,0	monster	Rokubi	1985,1,24000000,24000000,0
//tur_dun02,0,0,0,0	monster	Shichibi	1983,1,24000000,24000000,0
//tur_dun03,0,0,0,0	monster	Hachibi	1738,1,24000000,24000000,0
//thor_v03,0,0,0,0	monster	Kyuubi	1086,1,24000000,24000000,0

abyss_03,0,0,0,0	monster	Bandido	1372,75,180000,180000,0
iz_dun01,0,0,0,0	monster	Bandido	1372,75,180000,180000,0
mag_dun01,0,0,0,0	monster	Bandido	1372,75,180000,180000,0
mag_dun02,0,0,0,0	monster	Bandido	1372,75,180000,180000,0
ra_san05,0,0,0,0	monster	Bandido	1372,75,180000,180000,0
tur_dun01,0,0,0,0	monster	Bandido	1372,75,180000,180000,0
tur_dun02,0,0,0,0	monster	Bandido	1372,75,180000,180000,0
tur_dun03,0,0,0,0	monster	Bandido	1372,75,180000,180000,0
thor_v03,0,0,0,0	monster	Bandido	1372,75,180000,180000,0

ice_dun01,0,0,0,0	monster	Bandido	1372,75,180000,180000,0
ice_dun02,0,0,0,0	monster	Bandido	1372,75,180000,180000,0
ice_dun03,0,0,0,0	monster	Bandido	1372,75,180000,180000,0
//ice_dun04,0,0,0,0	monster	Bandido	1372,75,180000,180000,0

ice_dun03,0,0,0,0	monster	Monstro Suiton	1778,15,0,0,0

ice_dun01,0,0,0,0	monster	Nukenin	1771,75,180000,180000,0
ice_dun02,0,0,0,0	monster	Nukenin	1771,75,180000,180000,0
ice_dun03,0,0,0,0	monster	Nukenin	1771,75,180000,180000,0
//ice_dun04,0,0,0,0	monster	Nukenin	1771,75,180000,180000,0

//gef_fil08,0,0,0,0	monster	Medinin Renegado	1258,1,1200000,2400000,0




//FildsKonoha


pay_fild02,0,0,0,0	monster	Planta de Konoha	1079,1,600000,600000,0
pay_fild02,0,0,0,0	monster	Girino	1034,60,0,0,0
pay_fild02,0,0,0,0	monster	Filhote de Cobra	1037,50,0,0,0
pay_fild02,0,0,0,0	monster	Filhote de Katsuyu	1783,50,0,0,0
pay_fild02,0,0,0,0	monster	Akino	1212,50,0,0,0
pay_fild02,0,0,0,0	monster	Onbba	1214,50,0,0,0


pay_fild01,0,0,0,0	monster	Bikouchuu	1051,50,0,0,0
pay_fild01,0,0,0,0	monster	Kyodaigumo	1304,40,0,0,0
pay_fild01,0,0,0,0	monster	Genin	1656,40,0,0,0
pay_fild01,0,0,0,0	monster	Abelha Rainha Gigante	1303,20,0,0,0
pay_fild01,0,0,0,0	monster	Planta Medicinal 	1082,4,60000,60000,0
pay_fild01,0,0,0,0	monster	Líder Genin	1389,1,1800000,1800000,0

pay_fild05,0,0,0,0	monster	Kyodaija	1025,35,0,0,0
pay_fild05,0,0,0,0	monster	Gama-Kichi	1402,30,0,0,0
pay_fild05,0,0,0,0	monster	Namekuji	1031,30,0,0,0
pay_fild05,0,0,0,0	monster	Pakkun	1296,30,0,0,0
pay_fild05,0,0,0,0	monster	Saru	1628,30,0,0,0
pay_fild05,0,0,0,0	monster	Planta Medicinal 	1082,4,60000,60000,0

mjolnir_09,0,0,0,0	monster	Chunin	1636,50,0,0,0
mjolnir_09,0,0,0,0	monster	Akamaru	1106,25,0,0,0
mjolnir_09,0,0,0,0	monster	Nidachou	1036,25,0,0,0
mjolnir_09,0,0,0,0	monster	Usagiburaun	1322,25,0,0,0
mjolnir_09,0,0,0,0	monster	Togashiro	1027,25,0,0,0
mjolnir_09,0,0,0,0	monster	Planta Medicinal 	1082,4,60000,60000,0
mjolnir_09,0,0,0,0	monster	Líder Chunin	1390,1,1800000,1800000,0


cmd_fild01,0,0,0,0	monster	Condor	1009,25,0,0,0
cmd_fild01,0,0,0,0	monster	Coelho	1093,25,0,0,0
cmd_fild01,0,0,0,0	monster	Manmosukas	1040,25,0,0,0
cmd_fild01,0,0,0,0	monster	Sanjuu Kyodaireo	1517,25,0,0,0
cmd_fild01,0,0,0,0	monster	Chamu	1405,25,0,0,0
cmd_fild01,0,0,0,0	monster	Planta Medicinal 	1082,4,60000,60000,0

mjolnir_05,0,0,0,0	monster	Camaleon	1831,20,0,0,0
mjolnir_05,0,0,0,0	monster	Ninkame	1315,40,0,0,0
mjolnir_05,0,0,0,0	monster	Doki	1177,20,0,0,0
mjolnir_05,0,0,0,0	monster	Planta Medicinal 	1082,4,60000,60000,0
mjolnir_05,0,0,0,0	monster	Líder Jounin	1391,1,1800000,1800000,0

odin_tem02,0,0,0,0	monster	Gama-Bunta	1089,25,0,0,0
odin_tem02,0,0,0,0	monster	Katsuyo	1381,25,0,0,0
odin_tem02,0,0,0,0	monster	Manda	1418,25,0,0,0
odin_tem02,0,0,0,0	monster	Enma	1057,25,0,0,0
odin_tem02,0,0,0,0	monster	Baru	1032,25,0,0,0
odin_tem02,0,0,0,0	monster	Anbu	1635,20,0,0,0
odin_tem02,0,0,0,0	monster	Planta Medicinal 	1082,4,60000,60000,0

gef_fild01,0,0,0,0	monster	Chunin	1636,30,0,0,0
gef_fild01,0,0,0,0	monster	Akamaru	1106,15,0,0,0
gef_fild01,0,0,0,0	monster	Nidachou	1036,15,0,0,0
gef_fild01,0,0,0,0	monster	Usagiburaun	1322,15,0,0,0
gef_fild01,0,0,0,0	monster	Togashiro	1027,15,0,0,0

mosk_dun01,0,0,0,0	monster	Gama-Bunta	1089,25,0,0,0
mosk_dun01,0,0,0,0	monster	Katsuyo	1381,25,0,0,0
mosk_dun01,0,0,0,0	monster	Manda	1418,25,0,0,0
mosk_dun01,0,0,0,0	monster	Enma	1057,25,0,0,0
mosk_dun01,0,0,0,0	monster	Baru	1032,25,0,0,0
mosk_dun01,0,0,0,0	monster	Anbu	1635,20,0,0,0
mosk_dun01,0,0,0,0	monster	Planta Medicinal 	1082,4,60000,60000,0

gef_fild10,0,0,0,0	monster	Shinobi Ladrão		1201,50,180000,180000,0
gef_fild10,0,0,0,0	monster	Shinobi Prisioneiro	1196,25,180000,180000,0
gef_fild10,0,0,0,0	monster	Shinobi Sanguinario	1769,25,180000,180000,0
gef_fild10,0,0,0,0	monster	Prisioneiro Assassino	1202,25,180000,180000,0
gef_fild10,0,0,0,0	monster	Prisioneiro Fugitivo	1257,25,180000,180000,0
gef_fild10,0,0,0,0	monster	Shinobi Assassino	1507,25,180000,180000,0
gef_fild10,0,0,0,0	monster	Nukenin Procurado 	1839,20,180000,180000,0
gef_fild10,0,0,0,0	monster	Nukenin Assassino 	1401,20,180000,180000,0
gef_fild10,0,0,0,0	monster	Nukenin Ladrão 	1154,20,180000,180000,0
gef_fild10,0,0,0,0	monster	Nukenin	1771,20,180000,180000,0

gef_fild08,0,0,0,0	monster	Shinobi Ladrão		1201,50,180000,180000,0
gef_fild08,0,0,0,0	monster	Shinobi Prisioneiro	1196,25,180000,180000,0
gef_fild08,0,0,0,0	monster	Shinobi Sanguinario	1769,25,180000,180000,0
gef_fild08,0,0,0,0	monster	Prisioneiro Assassino	1202,25,180000,180000,0
gef_fild08,0,0,0,0	monster	Prisioneiro Fugitivo	1257,25,180000,180000,0
gef_fild08,0,0,0,0	monster	Shinobi Assassino	1507,25,180000,180000,0
gef_fild08,0,0,0,0	monster	Nukenin Procurado 	1839,20,180000,180000,0
gef_fild08,0,0,0,0	monster	Nukenin Assassino 	1401,20,180000,180000,0
gef_fild08,0,0,0,0	monster	Nukenin Ladrão 	1154,20,180000,180000,0
gef_fild08,0,0,0,0	monster	Nukenin	1771,20,180000,180000,0

gef_fild06,0,0,0,0	monster	Nukenin	1771,55,180000,180000,0

glast_01,0,0,0,0	monster	Doki	1177,60,0,0,0

prt_fild06,0,0,0,0	monster	Anbu	1635,45,0,0,0
